source,date,rank,title,link,summary
iTunes Store: Top Movies,2017-05-17,1.0,Logan - James Mangold,https://itunes.apple.com/us/movie/logan/id1207483880?uo=2,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces."
iTunes Store: Top Movies,2017-05-17,2.0,Fifty Shades Darker - James Foley,https://itunes.apple.com/us/movie/fifty-shades-darker/id1231623633?uo=2,"Jamie Dornan and Dakota Johnson return as Christian Grey and Anastasia Steele in Fifty Shades Darker, the second chapter based on the worldwide bestselling “Fifty Shades” phenomenon. When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together."
iTunes Store: Top Movies,2017-05-17,3.0,Get Out - Jordan Peele,https://itunes.apple.com/us/movie/get-out/id1202441786?uo=2,"Now that Chris (Daniel Kaluuya, Sicario) and his girlfriend, Rose (Allison Williams, Girls), have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway in her parent’s home upstate. At first, Chris reads the family’s overly accommodating behavior as nervous attempts to deal with their daughter’s interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he could have never imagined."
iTunes Store: Top Movies,2017-05-17,4.0,xXx: Return of Xander Cage - D.J. Caruso,https://itunes.apple.com/us/movie/xxx-return-of-xander-cage/id1186551221?uo=2,"Vin Diesel returns in the most x-treme, x-plosive and x-hilarating  xXx yet! When a group of lethal mercenaries steal a hi-tech weapon that poses a global threat, the world needs superspy Xander Cage. Recruited back into action, Xander leads a team of death-defying adrenaline junkies on a mission to kick some ass, save the day, and look dope while doing it. Packed with some of the most mind-blowing stunts ever caught on film, prepare for non-stop action in the high-octane thrill ride of the year."
iTunes Store: Top Movies,2017-05-17,5.0,Hidden Figures - Theodore Melfi,https://itunes.apple.com/us/movie/hidden-figures/id1186154683?uo=2,"The incredible untold true story of Katherine Johnson (Taraji P. Henson), Dorothy Vaughan (Octavia Spencer) & Mary Jackson (Janelle Monae)—brilliant African-American women working at NASA, who served as the brains behind one of the greatest operations in history: the launch of astronaut John Glenn into orbit. This stunning achievement galvanized the world and inspired generations to dream big."
iTunes Store: Top Movies,2017-05-17,6.0,Fist Fight - Richie Keen,https://itunes.apple.com/us/movie/fist-fight/id1205789502?uo=2,"Ice Cube and Charlie Day star as high school teachers prepared to solve their differences the hard way. On the last day of the year, mild-mannered high school English teacher Andy Campbell (Day) is trying his best to keep it together amidst senior pranks, a dysfunctional administration and budget cuts that put jobs on the line. But things go from bad to worse when he accidentally crosses his much tougher and deeply feared colleague, Ron Strickland (Ice Cube), who challenges Campbell to an old-fashioned throwdown after school. News of the fight spreads like wildfire and ends up becoming the very thing this school, and Campbell, needed."
iTunes Store: Top Movies,2017-05-17,7.0,Split (2017) - M. Night Shyamalan,https://itunes.apple.com/us/movie/split-2017/id1189252846?uo=2,"Writer/director/producer M. Night Shyamalan returns with an original thriller that delves into the mysterious recesses of one man’s fractured, gifted mind. Though Kevin (James McAvoy) has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher (Betty Buckley), there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey (Anya Taylor-Joy, The Witch), Kevin reaches a war for survival among all of those contained within him - as well as everyone around him - as the walls between his compartments shatter apart."
iTunes Store: Top Movies,2017-05-17,8.0,Guardians of the Galaxy - James Gunn,https://itunes.apple.com/us/movie/guardians-of-the-galaxy/id899347364?uo=2,"From Marvel, the studio that brought you the global blockbuster franchises of Iron Man, Thor, Captain America and The Avengers, comes a new team—the Guardians of the Galaxy. An action-packed, epic space adventure, Marvel’s “Guardians of the Galaxy” expands the Marvel Cinematic Universe into the cosmos, where brash adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfits—Rocket, a gun-toting raccoon, Groot, a tree-like humanoid, the deadly and enigmatic Gamora and the revenge-driven Drax the Destroyer. But when Quill discovers the true power of the orb and the menace it poses to the cosmos, he must do his best to rally his ragtag rivals for a last, desperate stand—with the galaxy’s fate in the balance."
iTunes Store: Top Movies,2017-05-17,9.0,Prometheus - Ridley Scott,https://itunes.apple.com/us/movie/prometheus/id547496947?uo=2,"Now in Digital HD. Legendary director Ridley Scott (Alien, Blade Runner) returns to his sci-fi origins in this epic adventure bursting with spectacular action and mind-blowing visual effects. A team of scientists and explorers travels to the darkest corners of the universe searching for the origins of human life. Instead they find a dark, twisted world that hides a terrifying threat capable of destroying them...and all mankind!"
iTunes Store: Top Movies,2017-05-17,10.0,A Dog's Purpose - Lasse Hallström,https://itunes.apple.com/us/movie/a-dogs-purpose/id1192743970?uo=2,"Based on the beloved bestselling novel by W. Bruce Cameron, A Dog’s Purpose, from director Lasse Hallström (The Cider House Rules, Dear John, The 100-Foot Journey), shares the soulful and surprising story of one devoted dog (voiced by Josh Gad) who finds the meaning of his own existence through the lives of the humans he teaches to laugh and love. The family film told from the dog’s perspective also stars Dennis Quaid, Peggy Lipton, Britt Robertson, K.J. Apa, Juliet Rylance, Luke Kirby, John Ortiz, and Pooch Hall."
Netflix Top 100,2017-05-17,1.0,Game of Thrones,https://dvd.netflix.com/Movie/Game-of-Thrones/70177064,"<a href=""https://dvd.netflix.com/Movie/Game-of-Thrones/70177064""><img src=""//secure.netflix.com/us/boxshots/small/70177064.jpg""/></a><br>Originally airing on HBO, this live-action fantasy series -- based on George R.R. Martin's ""A Song of Ice and Fire"" novels -- charts the violent efforts of competing noble families to gain control of the vacant Westeros throne."
Netflix Top 100,2017-05-17,2.0,Sully,https://dvd.netflix.com/Movie/Sully/80103102,"<a href=""https://dvd.netflix.com/Movie/Sully/80103102""><img src=""//secure.netflix.com/us/boxshots/small/80103102.jpg""/></a><br>Viewers around the world were astonished in 2009 when airline pilot Chesley Sullenberger safely landed an Airbus 320 on the Hudson River after both engines were disabled. This fact-based drama illuminates Sullenberger's life and heroic achievement."
Netflix Top 100,2017-05-17,3.0,Jason Bourne,https://dvd.netflix.com/Movie/Jason-Bourne/80098202,"<a href=""https://dvd.netflix.com/Movie/Jason-Bourne/80098202""><img src=""//secure.netflix.com/us/boxshots/small/80098202.jpg""/></a><br>Back for another high-stakes, high-octane thriller, superspy Jason Bourne plays cat and mouse with covert government agencies and terrorist rings while edging closer to unraveling the mystery of his real identity."
